type,gene.name,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Endogenous,ARNT2,NM_014862.3,189.81132075471697,-0.6871662143715598,0.2823749838394692,-2.433523696143761,0.014952656665569941,0.04659280861536711
Endogenous,IKBKB,NM_001556.1,346.1698113207547,-0.6911602580656215,0.1263557474543626,-5.469955043519141,4.5014974709534984e-8,1.3362339861146176e-6
Endogenous,DUSP5,NM_004419.3,796.5471698113207,-0.6972987614274787,0.2514923819181378,-2.772643672580323,0.0055602968391352875,0.021479502858029464
Endogenous,CACNA2D1,NM_000722.2,247,-0.7265417320746642,0.25795191267602186,-2.8165781929563516,0.004853822611005798,0.019010805226439373
Endogenous,PRLR,NM_001204318.1,603.2641509433962,-0.7287534745505969,0.22320178251123823,-3.2649984527516223,0.0010946467448863298,0.005716488556628612
Endogenous,SOCS2,NM_003877.3,181.45283018867926,-0.760682627622652,0.24095194099595263,-3.156989001534665,0.0015940735874680342,0.007555105070016566
Endogenous,PDGFD,NM_025208.4,206.56603773584905,-0.7857397345531663,0.2218100401375607,-3.5423993163964593,3.9650475424266295e-4,0.0024847631265873544
Endogenous,SFRP2,NM_003013.2,3147.5283018867926,-0.7942330403189135,0.30597567647673535,-2.59573914326913,0.009438769393599923,0.032027260386846994
Endogenous,MAP3K12,NM_006301.2,74.28301886792453,-0.8218294853140324,0.156641099590825,-5.246576329333746,1.5495166841780184e-7,3.972397317620011e-6
Endogenous,SFRP4,NM_003014.2,436.64150943396226,-0.8220634294810852,0.30560244723132735,-2.6899765919047764,0.0071457031158758885,0.026001139079703233
Endogenous,WNT3,NM_030753.3,108.41509433962264,-0.8292727592761453,0.27259837990867775,-3.042104503900416,0.0023493031623540803,0.010600055868541609
Endogenous,HSPB1,NM_001540.3,1623.6415094339623,-0.8377781236582557,0.3150255628987986,-2.6593972754121875,0.007828059737564208,0.02759391057491383
Endogenous,HSPA2,NM_021979.3,113.0754716981132,-0.8400952303942111,0.31917894171544847,-2.6320509300490293,0.008487113916013577,0.029366455513077653
Endogenous,PBX1,NM_002585.2,1964.8867924528302,-0.8505406907321941,0.21079496149983248,-4.034919452915244,5.462103187380765e-5,5.22140033505551e-4
Endogenous,DTX3,NM_178502.2,150.18867924528303,-0.8676585500391055,0.17363470667467482,-4.997034099091529,5.821877707875841e-7,1.1484269094549315e-5
Endogenous,SETBP1,NM_015559.2,285.9811320754717,-0.8888599086217807,0.23035721146362928,-3.8586155083845566,1.140311709031874e-4,8.712230542765455e-4
Endogenous,KITLG,NM_003994.4,520.0377358490566,-0.8947316205022613,0.22581076849256326,-3.9623071409534125,7.422896264097627e-5,6.429090435396638e-4
Endogenous,PRKACB,NM_182948.2,330.33962264150944,-0.8977761597143401,0.2924275247516349,-3.070080904582566,0.002140007922698848,0.009893151380345496
Endogenous,APH1B,NM_001145646.1,63.867924528301884,-0.9243092042535335,0.19177202445622235,-4.819833377023844,1.4367817071034305e-6,2.4555905539585903e-5
Endogenous,PRKAA2,NM_006252.2,140.49056603773585,-0.9666556973635434,0.3277244726228792,-2.949598757844058,0.0031818686266707748,0.01329314004031346
Endogenous,FGFR3,NM_022965.2,246.0754716981132,-0.982952175260195,0.38140818375401275,-2.5771659265028903,0.009961412028246599,0.03344188323768501
Endogenous,HHEX,NM_002729.4,234.41509433962264,-1.0554282187284683,0.21991252046649326,-4.799309363967194,1.5921370146977904e-6,2.565615075113011e-5
Endogenous,IL20RA,NM_014432.2,123.20754716981132,-1.0980226281252448,0.337810531966495,-3.2504096948467835,0.0011523886101411937,0.005907064461679787
Endogenous,LEF1,NM_016269.3,170.9056603773585,-1.1598867962878083,0.2285494949145595,-5.07499172869062,3.875128577864076e-7,8.406048145828226e-6
Endogenous,IRS1,NM_005544.2,281.50943396226415,-1.171875587521856,0.2686533312502131,-4.3620363167223015,1.2885747351261446e-5,1.5462896821513735e-4
Endogenous,CCND1,NM_053056.2,2534.698113207547,-1.4179503003471423,0.36223330353321676,-3.9144669651202197,9.060414077020631e-5,7.5148140285877e-4
Endogenous,PLAT,NM_000931.2,1423.9433962264152,-1.4419929272614096,0.3605280764360009,-3.9996688788186097,6.343117042870791e-5,5.849140611505799e-4
Endogenous,COL4A5,NM_033381.1,307.7169811320755,-1.4659339978816526,0.322402610603859,-4.546904862637319,5.4440591751739974e-6,7.676123436995337e-5
Endogenous,RET,NM_020630.4,186.28301886792454,-1.5222660778767634,0.3383971377231816,-4.498460265116131,6.8447385949017884e-6,8.977750157033974e-5
Endogenous,CACNA1H,NM_021098.2,267.75471698113205,-1.5777188902327042,0.41863727424779257,-3.768701420740782,1.6409903806760234e-4,0.0012019721749367237
Endogenous,BCL2,NM_000657.2,271.77358490566036,-1.651858973036479,0.2143282456728515,-7.707145494756021,1.2866308889250248e-14,1.814149553384285e-12
Endogenous,CACNA1D,NM_000720.2,130.83018867924528,-1.6557395207620684,0.28254269375371965,-5.860139219191085,4.624792769026191e-9,1.6302394510817323e-7
Endogenous,MYB,NM_005375.2,621.4150943396227,-1.6906315363208408,0.2795574549782185,-6.047527999038928,1.4708511194020278e-9,5.925428795305312e-8
Endogenous,IGF1R,NM_000875.2,1306.433962264151,-2.1178887378823585,0.27739707130299224,-7.634863367281388,2.2606003809943586e-14,2.5499572297616363e-12
